
局数,金额,胜负,收益,内容,牌型
17,2,False,-.46,对子,K K 5
18,2,False,0,单张,J 8 2
19,2.13,True,.13,单张,Q 3 2
20,2.02,False,-.11,对子,6 5 5
21,1.91,False,-.11,单张,9 6 3
22,1.89,False,-.02,对子,7 7 4
23,1.87,False,-.02,对子,Q 4 4
24,1.76,False,-.11,单张,A 10 9
25,1.65,False,-.11,单张,J 5 3
26,1.54,False,-.11,单张,10 4 3
27,1.43,False,-.11,单张,10 7 5
28,1.32,False,-.11,单张,8 5 2
29,1.21,False,-.11,单张,10 7 5
30,1.19,False,-.02,单张,K 8 4
31,1.71,True,.52,顺金,8 4 3
局数,金额,胜负,收益,内容,牌型
1,15.01,False,-.1,,
2,14,False,-1.01,对子,8 8 3
3,9.87,False,-4.13,对子,A A 6
4,9.76,False,-.11,对子,J 5 5
5,9.65,False,-.11,对子,7 7 4
6,9.54,False,-.11,对子,J 10 10
7,9.43,False,-.11,顺子,6 5 4
8,9.95,True,.52,顺金,10 8 8
9,9.84,False,-.11,单张,7 6 3
10,9.73,False,-.11,对子,8 5 2
11,9.62,False,-.11,单张,Q 7 2
12,9.51,False,-.11,顺子,7 6 5
13,9.4,False,-.11,对子,J J 9
14,10.95,True,1.55,豹子,4 4 4
15,7.15,False,-3.8,顺金,7 6 5
16,7.09,False,-.06,单张,A 10 9
17,6.98,False,-.11,对子,K 10 10
18,6.47,False,-.51,顺子,8 4 3
19,6,False,-.47,对子,K 6 6
20,6,False,0,单张,Q 8 3
21,6,False,0,顺子,8 4 3
22,6.91,True,.91,顺子,4 3 2
23,6.8,False,-.11,顺子,10 8 8
24,6.78,False,-.02,对子,Q Q J
25,6.67,False,-.11,单张,K 6 5
26,6.56,False,-.11,单张,7 6 4
27,6.5,False,-.06,单张,K Q 3
28,6,False,-.5,单张,10 4 3
29,7.66,True,1.66,豹子,Q Q Q
30,7.55,False,-.11,单张,Q 8 5
31,7.53,False,-.02,单张,Q 10 5
32,7.51,False,-.02,单张,K 8 6
33,7.82,True,.31,金花,K 8 2
34,7.8,False,-.02,对子,Q Q 8
35,7.69,False,-.11,单张,A 6 4
36,7.58,False,-.11,单张,J 8 3
37,8.04,True,.46,金花,10 4 2
38,7.93,False,-.11,单张,10 6 4
39,7.82,False,-.11,单张,9 6 2
40,7.71,False,-.11,单张,9 3 2
41,8,True,.29,金花,10 8 3
42,8,False,0,对子,8 8 5
43,8.16,True,.16,对子,10 4 4
44,8.05,False,-.11,对子,A K K
45,8.64,True,.59,顺子,6 5 4
46,8.62,False,-.02,单张,A 8 8
47,8.51,False,-.11,单张,Q 8 2
48,8.49,False,-.02,对子,J J 3
49,10,True,1.51,顺金,A 3 2
50,5.7,False,-4.3,单张,J 8 6
51,5.68,False,-.02,对子,Q 5 5
52,5.66,False,-.02,对子,6 6 4
53,5.83,True,.17,顺子,8 7 6
54,5.72,False,-.11,单张,A K J
55,5.7,False,-.02,对子,A 8 9
56,5.59,False,-.11,单张,A K 8
57,5.57,False,-.02,对子,K K 6
58,5.72,True,.15,金花,9 5 2
59,5.86,True,.14,金花,J 3 2
60,5.75,False,-.11,单张,A 8 5
61,5.64,False,-.11,单张,A J 10
62,5.62,False,-.02,单张,A Q 3
63,5.51,False,-.11,顺子,4 3 2
64,5.4,False,-.11,单张,K 8 7
65,5,False,-.4,单张,A 8 3
